county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,provisional
Yuma,001,Board of Supervisors,1,1,DEM,Write-In Totals,0,0,0,0
Yuma,001,Board of Supervisors,1,1,DEM,Total Votes Cast,82,77,5,0
Yuma,001,County Assessor,,1,DEM,Brian DE LA HOYA,80,76,4,0
Yuma,001,County Assessor,,1,DEM,Write-In Totals,1,0,1,0
Yuma,001,County Assessor,,1,DEM,Total Votes Cast,81,76,5,0
Yuma,001,County Attorney,,1,DEM,Karolyn KACZOROWSKI,78,74,4,0
Yuma,001,County Attorney,,1,DEM,Write-In Totals,1,1,0,0
Yuma,001,County Attorney,,1,DEM,Total Votes Cast,79,75,4,0
Yuma,001,County Recorder,,1,DEM,Write-In Totals,16,15,1,0
Yuma,001,County Recorder,,1,DEM,Total Votes Cast,16,15,1,0
Yuma,001,County School Superintendent,,1,DEM,Norma NELSON,82,78,4,0
Yuma,001,County School Superintendent,,1,DEM,Write-In Totals,1,0,1,0
Yuma,001,County School Superintendent,,1,DEM,Total Votes Cast,83,78,5,0
Yuma,001,County Sheriff,,1,DEM,Write-In Totals,10,9,1,0
Yuma,001,County Sheriff,,1,DEM,Total Votes Cast,10,9,1,0
Yuma,001,County Treasurer,,1,DEM,Angela PANCRAZI MORENO,82,77,5,0
Yuma,001,County Treasurer,,1,DEM,Write-In Totals,0,0,0,0
Yuma,001,County Treasurer,,1,DEM,Total Votes Cast,82,77,5,0
Yuma,001,Judge of the Superior Court,Div 1,1,DEM,Mark Wayne REEVES,81,76,5,0
Yuma,001,Judge of the Superior Court,Div 1,1,DEM,Write-In Totals,1,1,0,0
Yuma,001,Judge of the Superior Court,Div 1,1,DEM,Total Votes Cast,82,77,5,0
Yuma,001,Judge of the Superior Court,Div 4,1,DEM,Write-In Totals,8,7,1,0
Yuma,001,Judge of the Superior Court,Div 4,1,DEM,Total Votes Cast,8,7,1,0
Yuma,001,Judge of the Superior Court,Div 6,1,DEM,Write-In Totals,8,7,1,0
Yuma,001,Judge of the Superior Court,Div 6,1,DEM,Total Votes Cast,8,7,1,0
Yuma,001,Judge of the Superior Court,Div 7,1,DEM,Write-In Totals,7,6,1,0
Yuma,001,Judge of the Superior Court,Div 7,1,DEM,Total Votes Cast,7,6,1,0
Yuma,001,U.S. Senate,,1,LBT,Write-In Totals,0,0,0,0
Yuma,001,U.S. Senate,,1,LBT,Total Votes Cast,0,0,0,0
Yuma,001,U.S. House,7,1,LBT,Write-In Totals,0,0,0,0
Yuma,001,U.S. House,7,1,LBT,Total Votes Cast,0,0,0,0
Yuma,001,State Senate,2,1,LBT,Write-In Totals,0,0,0,0
Yuma,001,State Senate,2,1,LBT,Total Votes Cast,0,0,0,0
Yuma,001,State House,2,2,LBT,Write-In Totals,0,0,0,0
Yuma,001,State House,2,2,LBT,Total Votes Cast,0,0,0,0
Yuma,001,Corporation Commissioner,,3,LBT,Write-In Totals,0,0,0,0
Yuma,001,Corporation Commissioner,,3,LBT,Total Votes Cast,0,0,0,0
Yuma,001,U.S. Senate,,1,GRN,Arturo HERNANDEZ,0,0,0,0
Yuma,001,U.S. Senate,,1,GRN,Michael NORTON,0,0,0,0
Yuma,001,U.S. Senate,,1,GRN,Write-In Totals,0,0,0,0
Yuma,001,U.S. Senate,,1,GRN,Total Votes Cast,0,0,0,0
Yuma,001,U.S. House,7,1,GRN,Write-In Totals,0,0,0,0
Yuma,001,U.S. House,7,1,GRN,Total Votes Cast,0,0,0,0
Yuma,001,State Senate,2,1,GRN,Write-In Totals,0,0,0,0
Yuma,001,State Senate,2,1,GRN,Total Votes Cast,0,0,0,0
Yuma,001,State House,2,2,GRN,Write-In Totals,0,0,0,0
Yuma,001,State House,2,2,GRN,Total Votes Cast,0,0,0,0
Yuma,001,Corporation Commissioner,,3,GRN,Write-In Totals,0,0,0,0
Yuma,001,Corporation Commissioner,,3,GRN,Total Votes Cast,0,0,0,0
Yuma,001,NOL Notice,,1,NOL,Total Votes Cast,0,0,0,0
Yuma,001,Council Member,City of Yuma,3,,Martin GARCIA,4,4,0,0
Yuma,001,Council Member,City of Yuma,3,,Brannick HARRIS,3,3,0,0
Yuma,001,Council Member,City of Yuma,3,,Mark MARTINEZ,2,2,0,0
Yuma,001,Council Member,City of Yuma,3,,Chris MORRIS,2,2,0,0
Yuma,001,Council Member,City of Yuma,3,,Karen A. WATTS,5,5,0,0
Yuma,001,Council Member,City of Yuma,3,,Write-In Totals,0,0,0,0
Yuma,001,Council Member,City of Yuma,3,,Total Votes Cast,16,16,0,0
Yuma,001,Municipal Judge,City of Yuma,1,,Write-In Totals,1,1,0,0
Yuma,001,Municipal Judge,City of Yuma,1,,Total Votes Cast,1,1,0,0
Yuma,002,"Registered Voters - Total ",,,,,1783,1783,1783,1783
Yuma,002,Ballots Cast - Total,,,,,187,174,13,0
Yuma,002,U.S. Senate,,1,REP,Kari LAKE,63,59,4,0
Yuma,002,U.S. Senate,,1,REP,Mark LAMB,37,32,5,0
Yuma,002,U.S. Senate,,1,REP,Elizabeth Jean REYE,3,3,0,0
Yuma,002,U.S. Senate,,1,REP,Write-In Totals,0,0,0,0
Yuma,002,U.S. Senate,,1,REP,Total Votes Cast,103,94,9,0
Yuma,002,U.S. House,7,1,REP,Daniel Frances BUTIEREZ SR.,89,80,9,0
Yuma,002,U.S. House,7,1,REP,Write-In Totals,0,0,0,0
Yuma,002,U.S. House,7,1,REP,Total Votes Cast,89,80,9,0
Yuma,002,State Senate,2,1,REP,Michelle ALTHERR,87,78,9,0
Yuma,002,State Senate,2,1,REP,Write-In Totals,1,1,0,0
Yuma,002,State Senate,2,1,REP,Total Votes Cast,88,79,9,0
Yuma,002,State House,2,2,REP,Michelle PENA,89,80,9,0
Yuma,002,State House,2,2,REP,Write-In Totals,1,1,0,0
Yuma,002,State House,2,2,REP,Total Votes Cast,90,81,9,0
Yuma,002,Corporation Commissioner,,3,REP,Rene LOPEZ,51,45,6,0
Yuma,002,Corporation Commissioner,,3,REP,Lea MARQUEZ PETERSON,46,41,5,0
Yuma,002,Corporation Commissioner,,3,REP,Rachel WALDEN,62,56,6,0
Yuma,002,Corporation Commissioner,,3,REP,Write-In Totals,0,0,0,0
Yuma,002,Corporation Commissioner,,3,REP,Total Votes Cast,159,142,17,0
Yuma,002,Board of Supervisors,,1,REP,Write-In Totals,14,9,5,0
Yuma,002,Board of Supervisors,,1,REP,Total Votes Cast,14,9,5,0
Yuma,002,County Assessor,,1,REP,Lupita CANDELA,8,5,3,0
Yuma,002,County Assessor,,1,REP,Victoria MORRIS CLARKSON,45,42,3,0
Yuma,002,County Assessor,,1,REP,"Steven ""Stevie"" SEALE",38,35,3,0
Yuma,002,County Assessor,,1,REP,Write-In Totals,0,0,0,0
Yuma,002,County Assessor,,1,REP,Total Votes Cast,91,82,9,0
Yuma,002,County Attorney,,1,REP,Write-In Totals,12,9,3,0
Yuma,002,County Attorney,,1,REP,Total Votes Cast,12,9,3,0
Yuma,002,County Recorder,,1,REP,"Richard ""Rick"" COLWELL",44,41,3,0
Yuma,002,County Recorder,,1,REP,David LARA,52,46,6,0
Yuma,002,County Recorder,,1,REP,Write-In Totals,0,0,0,0
Yuma,002,County Recorder,,1,REP,Total Votes Cast,96,87,9,0
Yuma,002,County School Superintendent,,1,REP,Tom HURT,92,83,9,0
Yuma,002,County School Superintendent,,1,REP,Write-In Totals,1,1,0,0
Yuma,002,County School Superintendent,,1,REP,Total Votes Cast,93,84,9,0
Yuma,002,County Sheriff,,1,REP,Leon WILMOT,97,88,9,0
Yuma,002,County Sheriff,,1,REP,Write-In Totals,0,0,0,0
Yuma,002,County Sheriff,,1,REP,Total Votes Cast,97,88,9,0
Yuma,002,County Treasurer,,1,REP,David ALEXANDRE,88,79,9,0
Yuma,002,County Treasurer,,1,REP,Write-In Totals,0,0,0,0
Yuma,002,County Treasurer,,1,REP,Total Votes Cast,88,79,9,0
Yuma,002,Judge of the Superior Court,Div 1,1,REP,Write-In Totals,13,9,4,0
Yuma,002,Judge of the Superior Court,Div 1,1,REP,Total Votes Cast,13,9,4,0
Yuma,002,Judge of the Superior Court,Div 4,1,REP,David HAWS,95,87,8,0
Yuma,002,Judge of the Superior Court,Div 4,1,REP,Write-In Totals,0,0,0,0
Yuma,002,Judge of the Superior Court,Div 4,1,REP,Total Votes Cast,95,87,8,0
Yuma,002,Judge of the Superior Court,Div 6,1,REP,Nathaniel SORENSON,91,83,8,0
Yuma,002,Judge of the Superior Court,Div 6,1,REP,Write-In Totals,0,0,0,0
Yuma,002,Judge of the Superior Court,Div 6,1,REP,Total Votes Cast,91,83,8,0
Yuma,002,Judge of the Superior Court,Div 7,1,REP,Darci WEEDE,90,82,8,0
Yuma,002,Judge of the Superior Court,Div 7,1,REP,Write-In Totals,0,0,0,0
Yuma,002,Judge of the Superior Court,Div 7,1,REP,Total Votes Cast,90,82,8,0
Yuma,002,U.S. Senate,,1,DEM,Ruben GALLEGO,80,76,4,0
Yuma,002,U.S. Senate,,1,DEM,Write-In Totals,0,0,0,0
Yuma,002,U.S. Senate,,1,DEM,Total Votes Cast,80,76,4,0
Yuma,002,U.S. House,7,1,DEM,Raul GRIJALVA,77,75,2,0
Yuma,002,U.S. House,7,1,DEM,Write-In Totals,1,1,0,0
Yuma,002,U.S. House,7,1,DEM,Total Votes Cast,78,76,2,0
Yuma,002,State Senate,2,1,DEM,Brian FERNANDEZ,38,36,2,0
Yuma,002,State Senate,2,1,DEM,Jesus Arnulfo LUGO JR.,42,40,2,0
Yuma,002,State Senate,2,1,DEM,Write-In Totals,0,0,0,0
Yuma,002,State Senate,2,1,DEM,Total Votes Cast,80,76,4,0
Yuma,002,State House,2,2,DEM,"James ""Jimmy"" HOLMES",24,22,2,0
Yuma,002,State House,2,2,DEM,Matias ROSALES,30,28,2,0
Yuma,002,State House,2,2,DEM,Mariana SANDOVAL,58,55,3,0
Yuma,002,State House,2,2,DEM,Write-In Totals,0,0,0,0
Yuma,002,State House,2,2,DEM,Total Votes Cast,112,105,7,0
Yuma,002,Corporation Commissioner,,3,DEM,Ylenia AGUILAR,65,61,4,0
Yuma,002,Corporation Commissioner,,3,DEM,Jonathon HILL,43,40,3,0
Yuma,002,Corporation Commissioner,,3,DEM,Joshua POLACHECK,37,34,3,0
Yuma,002,Corporation Commissioner,,3,DEM,Write-In Totals,1,1,0,0
Yuma,002,Corporation Commissioner,,3,DEM,Total Votes Cast,146,136,10,0
Yuma,002,Board of Supervisors,,1,DEM,Write-In Totals,1,1,0,0
Yuma,002,Board of Supervisors,,1,DEM,Total Votes Cast,77,73,4,0
Yuma,002,County Assessor,,1,DEM,Brian DE LA HOYA,79,75,4,0
Yuma,002,County Assessor,,1,DEM,Write-In Totals,0,0,0,0
Yuma,002,County Assessor,,1,DEM,Total Votes Cast,79,75,4,0
Yuma,002,County Attorney,,1,DEM,Karolyn KACZOROWSKI,77,73,4,0
Yuma,002,County Attorney,,1,DEM,Write-In Totals,0,0,0,0
Yuma,002,County Attorney,,1,DEM,Total Votes Cast,77,73,4,0
Yuma,002,County Recorder,,1,DEM,Write-In Totals,18,17,1,0
Yuma,002,County Recorder,,1,DEM,Total Votes Cast,18,17,1,0
Yuma,002,County School Superintendent,,1,DEM,Norma NELSON,79,75,4,0
Yuma,002,County School Superintendent,,1,DEM,Write-In Totals,1,1,0,0
Yuma,002,County School Superintendent,,1,DEM,Total Votes Cast,80,76,4,0
Yuma,002,County Sheriff,,1,DEM,Write-In Totals,15,15,0,0
Yuma,002,County Sheriff,,1,DEM,Total Votes Cast,15,15,0,0
Yuma,002,County Treasurer,,1,DEM,Angela PANCRAZI MORENO,79,75,4,0
Yuma,002,County Treasurer,,1,DEM,Write-In Totals,0,0,0,0
Yuma,002,County Treasurer,,1,DEM,Total Votes Cast,79,75,4,0
Yuma,002,Judge of the Superior Court,Div 1,1,DEM,Mark Wayne REEVES,73,69,4,0
Yuma,002,Judge of the Superior Court,Div 1,1,DEM,Write-In Totals,1,1,0,0
Yuma,002,Judge of the Superior Court,Div 1,1,DEM,Total Votes Cast,74,70,4,0
Yuma,002,Judge of the Superior Court,Div 4,1,DEM,Write-In Totals,15,15,0,0
Yuma,002,Judge of the Superior Court,Div 4,1,DEM,Total Votes Cast,15,15,0,0
Yuma,002,Judge of the Superior Court,Div 6,1,DEM,Write-In Totals,14,14,0,0
Yuma,002,Judge of the Superior Court,Div 6,1,DEM,Total Votes Cast,14,14,0,0
Yuma,002,Judge of the Superior Court,Div 7,1,DEM,Write-In Totals,13,13,0,0
Yuma,002,Judge of the Superior Court,Div 7,1,DEM,Total Votes Cast,13,13,0,0
Yuma,002,U.S. Senate,,1,LBT,Write-In Totals,1,1,0,0
Yuma,002,U.S. Senate,,1,LBT,Total Votes Cast,1,1,0,0
Yuma,002,U.S. House,7,1,LBT,Write-In Totals,1,1,0,0
Yuma,002,U.S. House,7,1,LBT,Total Votes Cast,1,1,0,0
Yuma,002,State Senate,2,1,LBT,Write-In Totals,1,1,0,0
Yuma,002,State Senate,2,1,LBT,Total Votes Cast,1,1,0,0
Yuma,002,State House,2,2,LBT,Write-In Totals,2,2,0,0
Yuma,002,State House,2,2,LBT,Total Votes Cast,2,2,0,0
Yuma,002,Corporation Commissioner,,3,LBT,Write-In Totals,3,3,0,0
Yuma,002,Corporation Commissioner,,3,LBT,Total Votes Cast,3,3,0,0
Yuma,002,U.S. Senate,,1,GRN,Arturo HERNANDEZ,0,0,0,0
Yuma,002,U.S. Senate,,1,GRN,Michael NORTON,0,0,0,0
Yuma,002,U.S. Senate,,1,GRN,Write-In Totals,0,0,0,0
Yuma,002,U.S. Senate,,1,GRN,Total Votes Cast,0,0,0,0
Yuma,002,U.S. House,7,1,GRN,Write-In Totals,0,0,0,0
Yuma,002,U.S. House,7,1,GRN,Total Votes Cast,0,0,0,0
Yuma,002,State Senate,2,1,GRN,Write-In Totals,0,0,0,0
Yuma,002,State Senate,2,1,GRN,Total Votes Cast,0,0,0,0
Yuma,002,State House,2,2,GRN,Write-In Totals,0,0,0,0
Yuma,002,State House,2,2,GRN,Total Votes Cast,0,0,0,0
Yuma,002,Corporation Commissioner,,3,GRN,Write-In Totals,0,0,0,0
Yuma,002,Corporation Commissioner,,3,GRN,Total Votes Cast,0,0,0,0
Yuma,002,NOL Notice,,1,NOL,Total Votes Cast,0,0,0,0
Yuma,002,Council Member,City of Yuma,3,,Martin GARCIA,9,9,0,0
Yuma,002,Council Member,City of Yuma,3,,Brannick HARRIS,8,8,0,0
Yuma,002,Council Member,City of Yuma,3,,Mark MARTINEZ,15,15,0,0
Yuma,002,Council Member,City of Yuma,3,,Chris MORRIS,13,13,0,0
Yuma,002,Council Member,City of Yuma,3,,Karen A. WATTS,19,19,0,0
Yuma,002,Council Member,City of Yuma,3,,Write-In Totals,0,0,0,0
Yuma,002,Council Member,City of Yuma,3,,Total Votes Cast,64,64,0,0
Yuma,002,Municipal Judge,City of Yuma,1,,Write-In Totals,1,1,0,0
Yuma,002,Municipal Judge,City of Yuma,1,,Total Votes Cast,1,1,0,0
Yuma,003,"Registered Voters - Total ",,,,,3118,3118,3118,3118
Yuma,003,Ballots Cast - Total,,,,,425,385,40,0
Yuma,003,U.S. Senate,,1,REP,Kari LAKE,102,85,17,0
Yuma,003,U.S. Senate,,1,REP,Mark LAMB,52,47,5,0
Yuma,003,U.S. Senate,,1,REP,Elizabeth Jean REYE,13,11,2,0
Yuma,003,U.S. Senate,,1,REP,Write-In Totals,0,0,0,0
Yuma,003,U.S. Senate,,1,REP,Total Votes Cast,167,143,24,0
Yuma,003,U.S. House,7,1,REP,Daniel Frances BUTIEREZ SR.,130,111,19,0
Yuma,003,U.S. House,7,1,REP,Write-In Totals,4,4,0,0
Yuma,003,U.S. House,7,1,REP,Total Votes Cast,134,115,19,0
Yuma,003,State Senate,2,1,REP,Michelle ALTHERR,139,119,20,0
Yuma,003,State Senate,2,1,REP,Write-In Totals,5,4,1,0
Yuma,003,State Senate,2,1,REP,Total Votes Cast,144,123,21,0
Yuma,003,State House,2,2,REP,Michelle PENA,140,120,20,0
Yuma,003,State House,2,2,REP,Write-In Totals,4,4,0,0
Yuma,003,State House,2,2,REP,Total Votes Cast,144,124,20,0
Yuma,003,Corporation Commissioner,,3,REP,Rene LOPEZ,103,90,13,0
Yuma,003,Corporation Commissioner,,3,REP,Lea MARQUEZ PETERSON,100,88,12,0
Yuma,003,Corporation Commissioner,,3,REP,Rachel WALDEN,106,92,14,0
Yuma,003,Corporation Commissioner,,3,REP,Write-In Totals,1,1,0,0
Yuma,003,Corporation Commissioner,,3,REP,Total Votes Cast,310,271,39,0
Yuma,003,Board of Supervisors,,1,REP,Write-In Totals,19,17,2,0
Yuma,003,Board of Supervisors,,1,REP,Total Votes Cast,19,17,2,0
Yuma,003,County Assessor,,1,REP,Lupita CANDELA,39,32,7,0
Yuma,003,County Assessor,,1,REP,Victoria MORRIS CLARKSON,50,44,6,0
Yuma,003,County Assessor,,1,REP,"Steven ""Stevie"" SEALE",61,50,11,0
Yuma,003,County Assessor,,1,REP,Write-In Totals,0,0,0,0
Yuma,003,County Assessor,,1,REP,Total Votes Cast,150,126,24,0
Yuma,003,County Attorney,,1,REP,Write-In Totals,14,14,0,0
Yuma,003,County Attorney,,1,REP,Total Votes Cast,14,14,0,0
Yuma,003,County Recorder,,1,REP,"Richard ""Rick"" COLWELL",78,69,9,0
Yuma,003,County Recorder,,1,REP,David LARA,74,59,15,0
Yuma,003,County Recorder,,1,REP,Write-In Totals,0,0,0,0
Yuma,003,County Recorder,,1,REP,Total Votes Cast,152,128,24,0
Yuma,003,County School Superintendent,,1,REP,Tom HURT,138,117,21,0
Yuma,003,County School Superintendent,,1,REP,Write-In Totals,3,3,0,0
Yuma,003,County School Superintendent,,1,REP,Total Votes Cast,141,120,21,0
Yuma,003,County Sheriff,,1,REP,Leon WILMOT,150,128,22,0
Yuma,003,County Sheriff,,1,REP,Write-In Totals,2,2,0,0
Yuma,003,County Sheriff,,1,REP,Total Votes Cast,152,130,22,0
Yuma,003,County Treasurer,,1,REP,David ALEXANDRE,131,113,18,0
Yuma,003,County Treasurer,,1,REP,Write-In Totals,2,2,0,0
Yuma,003,County Treasurer,,1,REP,Total Votes Cast,133,115,18,0
Yuma,003,Judge of the Superior Court,Div 1,1,REP,Write-In Totals,16,15,1,0
Yuma,003,Judge of the Superior Court,Div 1,1,REP,Total Votes Cast,16,15,1,0
Yuma,003,Judge of the Superior Court,Div 4,1,REP,David HAWS,144,123,21,0
Yuma,003,Judge of the Superior Court,Div 4,1,REP,Write-In Totals,1,1,0,0
Yuma,003,Judge of the Superior Court,Div 4,1,REP,Total Votes Cast,145,124,21,0
Yuma,003,Judge of the Superior Court,Div 6,1,REP,Nathaniel SORENSON,138,118,20,0
Yuma,003,Judge of the Superior Court,Div 6,1,REP,Write-In Totals,1,1,0,0
Yuma,003,Judge of the Superior Court,Div 6,1,REP,Total Votes Cast,139,119,20,0
Yuma,003,Judge of the Superior Court,Div 7,1,REP,Darci WEEDE,138,118,20,0
Yuma,003,Judge of the Superior Court,Div 7,1,REP,Write-In Totals,1,1,0,0
Yuma,003,Judge of the Superior Court,Div 7,1,REP,Total Votes Cast,139,119,20,0
Yuma,003,U.S. Senate,,1,DEM,Ruben GALLEGO,228,216,12,0
Yuma,003,U.S. Senate,,1,DEM,Write-In Totals,1,1,0,0
Yuma,003,U.S. Senate,,1,DEM,Total Votes Cast,229,217,12,0
Yuma,003,U.S. House,7,1,DEM,Raul GRIJALVA,232,218,14,0
Yuma,003,U.S. House,7,1,DEM,Write-In Totals,2,2,0,0
Yuma,003,U.S. House,7,1,DEM,Total Votes Cast,234,220,14,0
Yuma,003,State Senate,2,1,DEM,Brian FERNANDEZ,151,142,9,0
Yuma,003,State Senate,2,1,DEM,Jesus Arnulfo LUGO JR.,87,82,5,0
Yuma,003,State Senate,2,1,DEM,Write-In Totals,0,0,0,0
Yuma,003,State Senate,2,1,DEM,Total Votes Cast,238,224,14,0
Yuma,003,State House,2,2,DEM,"James ""Jimmy"" HOLMES",44,42,2,0
Yuma,003,State House,2,2,DEM,Matias ROSALES,129,124,5,0
Yuma,003,State House,2,2,DEM,Mariana SANDOVAL,193,181,12,0
Yuma,003,State House,2,2,DEM,Write-In Totals,1,1,0,0
Yuma,003,State House,2,2,DEM,Total Votes Cast,367,348,19,0
Yuma,003,Corporation Commissioner,,3,DEM,Ylenia AGUILAR,198,186,12,0
Yuma,003,Corporation Commissioner,,3,DEM,Jonathon HILL,136,129,7,0
Yuma,003,Corporation Commissioner,,3,DEM,Joshua POLACHECK,128,121,7,0
Yuma,003,Corporation Commissioner,,3,DEM,Write-In Totals,1,1,0,0
Yuma,003,Corporation Commissioner,,3,DEM,Total Votes Cast,463,437,26,0
Yuma,003,Board of Supervisors,,1,DEM,Write-In Totals,2,2,0,0
Yuma,003,Board of Supervisors,,1,DEM,Total Votes Cast,233,221,12,0
Yuma,003,County Assessor,,1,DEM,Brian DE LA HOYA,219,206,13,0
Yuma,003,County Assessor,,1,DEM,Write-In Totals,1,1,0,0
Yuma,003,County Assessor,,1,DEM,Total Votes Cast,220,207,13,0
Yuma,003,County Attorney,,1,DEM,Karolyn KACZOROWSKI,214,202,12,0
Yuma,003,County Attorney,,1,DEM,Write-In Totals,3,3,0,0
Yuma,003,County Attorney,,1,DEM,Total Votes Cast,217,205,12,0
Yuma,003,County Recorder,,1,DEM,Write-In Totals,47,43,4,0
Yuma,003,County Recorder,,1,DEM,Total Votes Cast,47,43,4,0
Yuma,003,County School Superintendent,,1,DEM,Norma NELSON,216,203,13,0
Yuma,003,County School Superintendent,,1,DEM,Write-In Totals,2,2,0,0
Yuma,003,County School Superintendent,,1,DEM,Total Votes Cast,218,205,13,0
Yuma,003,County Sheriff,,1,DEM,Write-In Totals,29,27,2,0
