county,precinct,office,district,candidate,party,votes,election_day,early_voting,central_count
La Paz,051 PARKER,State Senate,5,Write-in 20,,12,7,5,0
La Paz,051 PARKER,State Representative,5,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,State Representative,5,Times Counted,,1860,750,799,311
La Paz,051 PARKER,State Representative,5,Times Blank Voted,,211,80,91,40
La Paz,051 PARKER,State Representative,5,Times Over Voted,,1,0,1,0
La Paz,051 PARKER,State Representative,5,Number of Under Votes,,871,392,319,160
La Paz,051 PARKER,State Representative,5,"COBB, REGINA",REP,705,253,350,102
La Paz,051 PARKER,State Representative,5,"MOSLEY, PAUL",REP,798,308,362,128
La Paz,051 PARKER,State Representative,5,"WEISSER, BETH",DEM,721,305,295,121
La Paz,051 PARKER,State Representative,5,"BIASIUCCI, LEO",GRN,199,80,88,31
La Paz,051 PARKER,State Representative,5,Write-in 60,,2,2,0,0
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,Times Counted,,1860,750,799,311
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,Times Blank Voted,,263,102,113,48
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,Number of Under Votes,,1532,685,556,291
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,"BURNS, ROBERT \BOB\""""",REP,762,286,353,123
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,"DUNN, BOYD",REP,624,240,294,90
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,"TOBIN, ANDY",REP,701,260,337,104
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,"CHABIN, TOM",DEM,557,209,257,91
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,"MUNDELL, WILLIAM",DEM,607,258,260,89
La Paz,051 PARKER,Corporation Commissioner (Elect 3),,Write-in 80,,8,6,1,1
La Paz,051 PARKER,Board of Supervisors Dist. 1,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,Board of Supervisors Dist. 1,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,Board of Supervisors Dist. 1,,Times Blank Voted,,80,30,26,24
La Paz,051 PARKER,Board of Supervisors Dist. 1,,Times Over Voted,,1,0,0,1
La Paz,051 PARKER,Board of Supervisors Dist. 1,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,Board of Supervisors Dist. 1,,"WILSON, D.L.",REP,991,386,457,148
La Paz,051 PARKER,Board of Supervisors Dist. 1,,"GILBERT, MESENA",DEM,787,334,316,137
La Paz,051 PARKER,Board of Supervisors Dist. 1,,Write-in 30,,1,0,0,1
La Paz,051 PARKER,County Attorney,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,County Attorney,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,County Attorney,,Times Blank Voted,,89,29,35,25
La Paz,051 PARKER,County Attorney,,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,County Attorney,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,County Attorney,,"FIELD, KATHY",REP,509,186,231,92
La Paz,051 PARKER,County Attorney,,"ROGERS, TONY",DEM,1260,535,533,192
La Paz,051 PARKER,County Attorney,,Write-in 30,,2,0,0,2
La Paz,051 PARKER,Sheriff,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,Sheriff,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,Sheriff,,Times Blank Voted,,81,22,36,23
La Paz,051 PARKER,Sheriff,,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,Sheriff,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,Sheriff,,"RISEN, WILLIAM",REP,963,371,427,165
La Paz,051 PARKER,Sheriff,,"VIDRINE, FRANK",DEM,808,354,335,119
La Paz,051 PARKER,Sheriff,,Write-in 30,,8,3,1,4
La Paz,051 PARKER,County Treasurer,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,County Treasurer,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,County Treasurer,,Times Blank Voted,,398,152,182,64
La Paz,051 PARKER,County Treasurer,,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,County Treasurer,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,County Treasurer,,"CASTRO, LEAH",REP,1446,591,609,246
La Paz,051 PARKER,County Treasurer,,Write-in 20,,16,7,8,1
La Paz,051 PARKER,County School Superintendent,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,County School Superintendent,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,County School Superintendent,,Times Blank Voted,,118,36,54,28
La Paz,051 PARKER,County School Superintendent,,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,County School Superintendent,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,County School Superintendent,,"PRICE, JACQULINE",REP,684,240,326,118
La Paz,051 PARKER,County School Superintendent,,"HEREDIA, ARMANDO",DEM,1058,474,419,165
La Paz,051 PARKER,County School Superintendent,,Write-in 30,,0,0,0,0
La Paz,051 PARKER,County Recorder,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,County Recorder,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,County Recorder,,Times Blank Voted,,476,191,211,74
La Paz,051 PARKER,County Recorder,,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,County Recorder,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,County Recorder,,"BAKER, SHELLY",REP,1373,553,583,237
La Paz,051 PARKER,County Recorder,,Write-in 20,,11,6,5,0
La Paz,051 PARKER,County Assessor,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,County Assessor,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,County Assessor,,Times Blank Voted,,434,158,209,67
La Paz,051 PARKER,County Assessor,,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,County Assessor,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,County Assessor,,"CAMACHO, ANNA",REP,1395,582,571,242
La Paz,051 PARKER,County Assessor,,Write-in 20,,31,10,19,2
La Paz,051 PARKER,"Retain Justice TIMMER, ANN",,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,"Retain Justice TIMMER, ANN",,Times Counted,,1860,750,799,311
La Paz,051 PARKER,"Retain Justice TIMMER, ANN",,Times Blank Voted,,463,161,209,93
La Paz,051 PARKER,"Retain Justice TIMMER, ANN",,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,"Retain Justice TIMMER, ANN",,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,"Retain Justice TIMMER, ANN",,YES,,1028,419,443,166
La Paz,051 PARKER,"Retain Justice TIMMER, ANN",,NO,,369,170,147,52
La Paz,051 PARKER,"Retain Judge BROWN, MICHAEL J.",,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,"Retain Judge BROWN, MICHAEL J.",,Times Counted,,1860,750,799,311
La Paz,051 PARKER,"Retain Judge BROWN, MICHAEL J.",,Times Blank Voted,,473,163,214,96
La Paz,051 PARKER,"Retain Judge BROWN, MICHAEL J.",,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,"Retain Judge BROWN, MICHAEL J.",,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,"Retain Judge BROWN, MICHAEL J.",,YES,,1011,428,440,143
La Paz,051 PARKER,"Retain Judge BROWN, MICHAEL J.",,NO,,376,159,145,72
La Paz,051 PARKER,"Retain Judge JONES, KENTON",,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,"Retain Judge JONES, KENTON",,Times Counted,,1860,750,799,311
La Paz,051 PARKER,"Retain Judge JONES, KENTON",,Times Blank Voted,,487,175,215,97
La Paz,051 PARKER,"Retain Judge JONES, KENTON",,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,"Retain Judge JONES, KENTON",,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,"Retain Judge JONES, KENTON",,YES,,1002,415,433,154
La Paz,051 PARKER,"Retain Judge JONES, KENTON",,NO,,371,160,151,60
La Paz,051 PARKER,"Retain Judge THOMPSON, JON W.",,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,"Retain Judge THOMPSON, JON W.",,Times Counted,,1860,750,799,311
La Paz,051 PARKER,"Retain Judge THOMPSON, JON W.",,Times Blank Voted,,486,171,222,93
La Paz,051 PARKER,"Retain Judge THOMPSON, JON W.",,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,"Retain Judge THOMPSON, JON W.",,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,"Retain Judge THOMPSON, JON W.",,YES,,992,414,417,161
La Paz,051 PARKER,"Retain Judge THOMPSON, JON W.",,NO,,382,165,160,57
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,Registered Voters,,4,0,0,0
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,Times Counted,,4,0,2,2
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,Times Blank Voted,,2,0,2,0
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,Number of Under Votes,,4,0,0,4
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,"COOPER, ROBIN",,0,0,0,0
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,"GARCIA, BRENDA",,1,0,0,1
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,"GLENN, JACK",,0,0,0,0
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,"HUHTALA, HEATHER",,0,0,0,0
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,"NAULT, GEORGE",,1,0,0,1
La Paz,051 PARKER,Bouse Elementary School Dist. 26 (Elect 3),,Write-in 80,,0,0,0,0
La Paz,051 PARKER,Proposition 205,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,Proposition 205,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,Proposition 205,,Times Blank Voted,,135,44,59,32
La Paz,051 PARKER,Proposition 205,,Times Over Voted,,1,0,1,0
La Paz,051 PARKER,Proposition 205,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,Proposition 205,,YES,,883,359,361,163
La Paz,051 PARKER,Proposition 205,,NO,,841,347,378,116
La Paz,051 PARKER,Proposition 206,,Registered Voters,,3012,0,0,0
La Paz,051 PARKER,Proposition 206,,Times Counted,,1860,750,799,311
La Paz,051 PARKER,Proposition 206,,Times Blank Voted,,143,50,59,34
La Paz,051 PARKER,Proposition 206,,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,Proposition 206,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,Proposition 206,,YES,,1079,433,474,172
La Paz,051 PARKER,Proposition 206,,NO,,638,267,266,105
La Paz,051 PARKER,Proposition 400,,Registered Voters,,1846,0,0,0
La Paz,051 PARKER,Proposition 400,,Times Counted,,1210,495,506,209
La Paz,051 PARKER,Proposition 400,,Times Blank Voted,,127,46,49,32
La Paz,051 PARKER,Proposition 400,,Times Over Voted,,0,0,0,0
La Paz,051 PARKER,Proposition 400,,Number of Under Votes,,0,0,0,0
La Paz,051 PARKER,Proposition 400,,YES,,730,318,293,119
La Paz,051 PARKER,Proposition 400,,NO,,353,131,164,58
La Paz,052 POSTON,President,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,President,,Times Counted,,212,110,75,27
La Paz,052 POSTON,President,,Times Blank Voted,,3,3,0,0
La Paz,052 POSTON,President,,Times Over Voted,,1,0,0,1
La Paz,052 POSTON,President,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,President,,TRUMP / PENCE,REP,61,31,21,9
La Paz,052 POSTON,President,,CLINTON / KAINE,DEM,126,63,48,15
La Paz,052 POSTON,President,,JOHNSON / WELD,LIB,12,8,3,1
La Paz,052 POSTON,President,,STEIN / BARAKA,GRN,3,1,1,1
La Paz,052 POSTON,President,,Write-in,,6,4,2,0
La Paz,052 POSTON,U.S. Senate,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,U.S. Senate,,Times Counted,,212,110,75,27
La Paz,052 POSTON,U.S. Senate,,Times Blank Voted,,6,5,0,1
La Paz,052 POSTON,U.S. Senate,,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,U.S. Senate,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,U.S. Senate,,"MCCAIN, JOHN",REP,91,42,34,15
La Paz,052 POSTON,U.S. Senate,,"KIRKPATRICK, ANN",DEM,103,53,39,11
La Paz,052 POSTON,U.S. Senate,,"SWING, GARY",GRN,12,10,2,0
La Paz,052 POSTON,U.S. Senate,,Write-in,,0,0,0,0
La Paz,052 POSTON,U.S. House,4,Registered Voters,,361,0,0,0
La Paz,052 POSTON,U.S. House,4,Times Counted,,212,110,75,27
La Paz,052 POSTON,U.S. House,4,Times Blank Voted,,19,13,2,4
La Paz,052 POSTON,U.S. House,4,Times Over Voted,,1,0,1,0
La Paz,052 POSTON,U.S. House,4,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,U.S. House,4,"GOSAR, PAUL",REP,81,40,29,12
La Paz,052 POSTON,U.S. House,4,"WEISSER, MIKEL",DEM,111,57,43,11
La Paz,052 POSTON,U.S. House,4,Write-in,,0,0,0,0
La Paz,052 POSTON,State Senate,5,Registered Voters,,361,0,0,0
La Paz,052 POSTON,State Senate,5,Times Counted,,212,110,75,27
La Paz,052 POSTON,State Senate,5,Times Blank Voted,,99,57,30,12
La Paz,052 POSTON,State Senate,5,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,State Senate,5,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,State Senate,5,"BORRELLI, SONNY",REP,110,52,44,14
La Paz,052 POSTON,State Senate,5,Write-in 20,,3,1,1,1
La Paz,052 POSTON,State Representative,5,Registered Voters,,361,0,0,0
La Paz,052 POSTON,State Representative,5,Times Counted,,212,110,75,27
La Paz,052 POSTON,State Representative,5,Times Blank Voted,,23,14,4,5
La Paz,052 POSTON,State Representative,5,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,State Representative,5,Number of Under Votes,,108,62,37,9
La Paz,052 POSTON,State Representative,5,"COBB, REGINA",REP,51,23,20,8
La Paz,052 POSTON,State Representative,5,"MOSLEY, PAUL",REP,64,34,21,9
La Paz,052 POSTON,State Representative,5,"WEISSER, BETH",DEM,126,66,49,11
La Paz,052 POSTON,State Representative,5,"BIASIUCCI, LEO",GRN,28,7,15,6
La Paz,052 POSTON,State Representative,5,Write-in 60,,1,0,0,1
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,Registered Voters,,361,0,0,0
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,Times Counted,,212,110,75,27
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,Times Blank Voted,,21,12,4,5
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,Number of Under Votes,,206,118,69,19
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,"BURNS, ROBERT \BOB\""""",REP,61,30,23,8
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,"DUNN, BOYD",REP,48,21,21,6
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,"TOBIN, ANDY",REP,64,29,26,9
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,"CHABIN, TOM",DEM,75,36,31,8
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,"MUNDELL, WILLIAM",DEM,118,60,43,15
La Paz,052 POSTON,Corporation Commissioner (Elect 3),,Write-in 80,,1,0,0,1
La Paz,052 POSTON,Board of Supervisors Dist. 1,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,Board of Supervisors Dist. 1,,Times Counted,,212,110,75,27
La Paz,052 POSTON,Board of Supervisors Dist. 1,,Times Blank Voted,,12,8,3,1
La Paz,052 POSTON,Board of Supervisors Dist. 1,,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,Board of Supervisors Dist. 1,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,Board of Supervisors Dist. 1,,"WILSON, D.L.",REP,71,33,27,11
La Paz,052 POSTON,Board of Supervisors Dist. 1,,"GILBERT, MESENA",DEM,129,69,45,15
La Paz,052 POSTON,Board of Supervisors Dist. 1,,Write-in 30,,0,0,0,0
La Paz,052 POSTON,County Attorney,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,County Attorney,,Times Counted,,212,110,75,27
La Paz,052 POSTON,County Attorney,,Times Blank Voted,,8,5,2,1
La Paz,052 POSTON,County Attorney,,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,County Attorney,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,County Attorney,,"FIELD, KATHY",REP,59,31,20,8
La Paz,052 POSTON,County Attorney,,"ROGERS, TONY",DEM,145,74,53,18
La Paz,052 POSTON,County Attorney,,Write-in 30,,0,0,0,0
La Paz,052 POSTON,Sheriff,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,Sheriff,,Times Counted,,212,110,75,27
La Paz,052 POSTON,Sheriff,,Times Blank Voted,,10,5,4,1
La Paz,052 POSTON,Sheriff,,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,Sheriff,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,Sheriff,,"RISEN, WILLIAM",REP,97,53,33,11
La Paz,052 POSTON,Sheriff,,"VIDRINE, FRANK",DEM,104,52,37,15
La Paz,052 POSTON,Sheriff,,Write-in 30,,1,0,1,0
La Paz,052 POSTON,County Treasurer,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,County Treasurer,,Times Counted,,212,110,75,27
La Paz,052 POSTON,County Treasurer,,Times Blank Voted,,53,27,19,7
La Paz,052 POSTON,County Treasurer,,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,County Treasurer,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,County Treasurer,,"CASTRO, LEAH",REP,156,82,55,19
La Paz,052 POSTON,County Treasurer,,Write-in 20,,3,1,1,1
La Paz,052 POSTON,County School Superintendent,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,County School Superintendent,,Times Counted,,212,110,75,27
La Paz,052 POSTON,County School Superintendent,,Times Blank Voted,,11,7,2,2
La Paz,052 POSTON,County School Superintendent,,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,County School Superintendent,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,County School Superintendent,,"PRICE, JACQULINE",REP,37,20,13,4
La Paz,052 POSTON,County School Superintendent,,"HEREDIA, ARMANDO",DEM,164,83,60,21
La Paz,052 POSTON,County School Superintendent,,Write-in 30,,0,0,0,0
La Paz,052 POSTON,County Recorder,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,County Recorder,,Times Counted,,212,110,75,27
La Paz,052 POSTON,County Recorder,,Times Blank Voted,,71,38,24,9
La Paz,052 POSTON,County Recorder,,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,County Recorder,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,County Recorder,,"BAKER, SHELLY",REP,139,71,51,17
La Paz,052 POSTON,County Recorder,,Write-in 20,,2,1,0,1
La Paz,052 POSTON,County Assessor,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,County Assessor,,Times Counted,,212,110,75,27
La Paz,052 POSTON,County Assessor,,Times Blank Voted,,60,35,19,6
La Paz,052 POSTON,County Assessor,,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,County Assessor,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,County Assessor,,"CAMACHO, ANNA",REP,149,73,56,20
La Paz,052 POSTON,County Assessor,,Write-in 20,,3,2,0,1
La Paz,052 POSTON,"Retain Justice TIMMER, ANN",,Registered Voters,,361,0,0,0
La Paz,052 POSTON,"Retain Justice TIMMER, ANN",,Times Counted,,212,110,75,27
La Paz,052 POSTON,"Retain Justice TIMMER, ANN",,Times Blank Voted,,41,23,13,5
La Paz,052 POSTON,"Retain Justice TIMMER, ANN",,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,"Retain Justice TIMMER, ANN",,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,"Retain Justice TIMMER, ANN",,YES,,122,57,51,14
La Paz,052 POSTON,"Retain Justice TIMMER, ANN",,NO,,49,30,11,8
La Paz,052 POSTON,"Retain Judge BROWN, MICHAEL J.",,Registered Voters,,361,0,0,0
La Paz,052 POSTON,"Retain Judge BROWN, MICHAEL J.",,Times Counted,,212,110,75,27
La Paz,052 POSTON,"Retain Judge BROWN, MICHAEL J.",,Times Blank Voted,,43,26,13,4
La Paz,052 POSTON,"Retain Judge BROWN, MICHAEL J.",,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,"Retain Judge BROWN, MICHAEL J.",,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,"Retain Judge BROWN, MICHAEL J.",,YES,,122,53,53,16
La Paz,052 POSTON,"Retain Judge BROWN, MICHAEL J.",,NO,,47,31,9,7
La Paz,052 POSTON,"Retain Judge JONES, KENTON",,Registered Voters,,361,0,0,0
La Paz,052 POSTON,"Retain Judge JONES, KENTON",,Times Counted,,212,110,75,27
La Paz,052 POSTON,"Retain Judge JONES, KENTON",,Times Blank Voted,,46,28,14,4
La Paz,052 POSTON,"Retain Judge JONES, KENTON",,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,"Retain Judge JONES, KENTON",,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,"Retain Judge JONES, KENTON",,YES,,119,53,51,15
La Paz,052 POSTON,"Retain Judge JONES, KENTON",,NO,,47,29,10,8
La Paz,052 POSTON,"Retain Judge THOMPSON, JON W.",,Registered Voters,,361,0,0,0
La Paz,052 POSTON,"Retain Judge THOMPSON, JON W.",,Times Counted,,212,110,75,27
La Paz,052 POSTON,"Retain Judge THOMPSON, JON W.",,Times Blank Voted,,42,23,14,5
La Paz,052 POSTON,"Retain Judge THOMPSON, JON W.",,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,"Retain Judge THOMPSON, JON W.",,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,"Retain Judge THOMPSON, JON W.",,YES,,125,61,51,13
La Paz,052 POSTON,"Retain Judge THOMPSON, JON W.",,NO,,45,26,10,9
La Paz,052 POSTON,Proposition 205,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,Proposition 205,,Times Counted,,212,110,75,27
La Paz,052 POSTON,Proposition 205,,Times Blank Voted,,11,6,4,1
La Paz,052 POSTON,Proposition 205,,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,Proposition 205,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,Proposition 205,,YES,,90,44,33,13
La Paz,052 POSTON,Proposition 205,,NO,,111,60,38,13
La Paz,052 POSTON,Proposition 206,,Registered Voters,,361,0,0,0
La Paz,052 POSTON,Proposition 206,,Times Counted,,212,110,75,27
La Paz,052 POSTON,Proposition 206,,Times Blank Voted,,12,7,4,1
La Paz,052 POSTON,Proposition 206,,Times Over Voted,,0,0,0,0
La Paz,052 POSTON,Proposition 206,,Number of Under Votes,,0,0,0,0
La Paz,052 POSTON,Proposition 206,,YES,,138,71,47,20
La Paz,052 POSTON,Proposition 206,,NO,,62,32,24,6
La Paz,054 UPRIVER,President,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,President,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,President,,Times Blank Voted,,13,2,9,2
La Paz,054 UPRIVER,President,,Times Over Voted,,9,3,5,1
La Paz,054 UPRIVER,President,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,President,,TRUMP / PENCE,REP,958,261,577,120
La Paz,054 UPRIVER,President,,CLINTON / KAINE,DEM,220,58,130,32
La Paz,054 UPRIVER,President,,JOHNSON / WELD,LIB,31,12,16,3
La Paz,054 UPRIVER,President,,STEIN / BARAKA,GRN,6,1,4,1
La Paz,054 UPRIVER,President,,Write-in,,10,3,7,0
La Paz,054 UPRIVER,U.S. Senate,,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,U.S. Senate,,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,U.S. Senate,,Times Blank Voted,,62,17,35,10
La Paz,054 UPRIVER,U.S. Senate,,Times Over Voted,,0,0,0,0
La Paz,054 UPRIVER,U.S. Senate,,Number of Under Votes,,0,0,0,0
La Paz,054 UPRIVER,U.S. Senate,,"MCCAIN, JOHN",REP,857,238,517,102
La Paz,054 UPRIVER,U.S. Senate,,"KIRKPATRICK, ANN",DEM,238,60,141,37
La Paz,054 UPRIVER,U.S. Senate,,"SWING, GARY",GRN,81,22,49,10
La Paz,054 UPRIVER,U.S. Senate,,Write-in,,9,3,6,0
La Paz,054 UPRIVER,U.S. House,4,Registered Voters,,1734,0,0,0
La Paz,054 UPRIVER,U.S. House,4,Times Counted,,1247,340,748,159
La Paz,054 UPRIVER,U.S. House,4,Times Blank Voted,,127,41,61,25
La Paz,054 UPRIVER,U.S. House,4,Times Over Voted,,0,0,0,0
